"No.","Time","Source","Destination","Protocol","Length","Info"
"80","1.765494","192.168.1.216","192.168.1.2","TCP","66","49674  >  135 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"81","1.765691","192.168.1.2","192.168.1.216","TCP","66","135  >  49674 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"82","1.765826","192.168.1.216","192.168.1.2","TCP","54","49674  >  135 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"83","1.767226","192.168.1.216","192.168.1.2","TCP","66","49675  >  135 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"84","1.767343","192.168.1.2","192.168.1.216","TCP","66","135  >  49675 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"85","1.767354","192.168.1.216","192.168.1.2","DCERPC","214","Bind: call_id: 2, Fragment: Single, 3 context items: EPMv4 V3.0 (32bit NDR), EPMv4 V3.0 (64bit NDR), EPMv4 V3.0 (6cb71c2c-9812-4540-0300-000000000000)"
"86","1.767530","192.168.1.216","192.168.1.2","TCP","54","49675  >  135 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"87","1.767549","192.168.1.2","192.168.1.216","DCERPC","162","Bind_ack: call_id: 2, Fragment: Single, max_xmit: 5840 max_recv: 5840, 3 results: Provider rejection, Acceptance, Negotiate ACK"
"88","1.768179","192.168.1.216","192.168.1.2","EPM","222","Map request, DRSUAPI, 32bit NDR"
"89","1.768182","192.168.1.216","192.168.1.2","DCERPC","214","Bind: call_id: 3, Fragment: Single, 2 context items: EPMv4 V3.0 (32bit NDR), EPMv4 V3.0 (64bit NDR)"
"90","1.768467","192.168.1.2","192.168.1.216","EPM","226","Map response, DRSUAPI, 32bit NDR"
"91","1.768534","192.168.1.2","192.168.1.216","DCERPC","138","Bind_ack: call_id: 3, Fragment: Single, max_xmit: 5840 max_recv: 5840, 2 results: Provider rejection, Acceptance"
"92","1.768681","192.168.1.216","192.168.1.2","EPM","222","Map request, RPC_NETLOGON, 32bit NDR"
"93","1.768911","192.168.1.2","192.168.1.216","EPM","322","Map response, RPC_NETLOGON, 32bit NDR, RPC_NETLOGON, 32bit NDR"
"94","1.769450","192.168.1.216","192.168.1.2","TCP","66","49676  >  49676 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"95","1.769599","192.168.1.2","192.168.1.216","TCP","66","49676  >  49676 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"96","1.769760","192.168.1.216","192.168.1.2","TCP","54","49676  >  49676 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"97","1.769835","192.168.1.216","192.168.1.2","DCERPC","214","Bind: call_id: 2, Fragment: Single, 3 context items: RPC_NETLOGON V1.0 (32bit NDR), RPC_NETLOGON V1.0 (64bit NDR), RPC_NETLOGON V1.0 (6cb71c2c-9812-4540-0300-000000000000)"
"98","1.769853","192.168.1.216","192.168.1.2","TCP","66","49677  >  49667 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"99","1.770044","192.168.1.2","192.168.1.216","TCP","66","49667  >  49677 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"100","1.770069","192.168.1.2","192.168.1.216","DCERPC","162","Bind_ack: call_id: 2, Fragment: Single, max_xmit: 5840 max_recv: 5840, 3 results: Provider rejection, Acceptance, Negotiate ACK"
"101","1.770298","192.168.1.216","192.168.1.2","TCP","54","49677  >  49667 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"102","1.770307","192.168.1.216","192.168.1.2","RPC_NETLOGON","238","NetrServerReqChallenge request, "
"103","1.770629","192.168.1.2","192.168.1.216","RPC_NETLOGON","90","NetrServerReqChallenge response"
"104","1.770660","192.168.1.216","192.168.1.2","TCP","66","49678  >  88 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"105","1.770778","192.168.1.2","192.168.1.216","TCP","66","88  >  49678 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"106","1.770808","192.168.1.216","192.168.1.2","RPC_NETLOGON","306","NetrServerAuthenticate3 request"
"107","1.770899","192.168.1.216","192.168.1.2","TCP","54","49678  >  88 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"108","1.770933","192.168.1.216","192.168.1.2","KRB5","298","AS-REQ"
"109","1.771417","192.168.1.2","192.168.1.216","KRB5","278","KRB Error: KRB5KDC_ERR_PREAUTH_REQUIRED"
"110","1.771582","192.168.1.216","192.168.1.2","TCP","54","49678  >  88 [FIN, ACK] Seq=245 Ack=225 Win=2102016 Len=0"
"111","1.771587","192.168.1.2","192.168.1.216","RPC_NETLOGON","98","NetrServerAuthenticate3 response"
"112","1.771675","192.168.1.2","192.168.1.216","TCP","54","88  >  49678 [ACK] Seq=225 Ack=246 Win=2102272 Len=0"
"113","1.771768","192.168.1.2","192.168.1.216","TCP","54","88  >  49678 [RST, ACK] Seq=225 Ack=246 Win=0 Len=0"
"114","1.771782","192.168.1.216","192.168.1.2","DCERPC","202","Alter_context: call_id: 4, Fragment: Single, 1 context items: RPC_NETLOGON V1.0 (64bit NDR)"
"115","1.771951","192.168.1.2","192.168.1.216","DCERPC","130","Alter_context_resp: call_id: 4, Fragment: Single, max_xmit: 5840 max_recv: 5840, 1 results: Acceptance"
"116","1.772120","192.168.1.216","192.168.1.2","RPC_NETLOGON","334","NetrLogonDummyRoutine1 request"
"117","1.772359","192.168.1.2","192.168.1.216","RPC_NETLOGON","174","NetrLogonDummyRoutine1 response"
"118","1.778917","192.168.1.216","192.168.1.2","RPC_NETLOGON","1022","NetrLogonGetDomainInfo request"
"119","1.779388","192.168.1.2","192.168.1.216","RPC_NETLOGON","1054","NetrLogonGetDomainInfo response"
"120","1.782639","192.168.1.216","192.168.1.2","TCP","66","49679  >  88 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"121","1.782641","192.168.1.216","192.168.1.2","TCP","66","49680  >  88 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"122","1.782782","192.168.1.2","192.168.1.216","TCP","66","88  >  49679 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"123","1.782820","192.168.1.2","192.168.1.216","TCP","66","88  >  49680 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"124","1.782976","192.168.1.216","192.168.1.2","TCP","54","49679  >  88 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"125","1.782979","192.168.1.216","192.168.1.2","TCP","54","49680  >  88 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"126","1.783034","192.168.1.216","192.168.1.2","KRB5","378","AS-REQ"
"127","1.783080","192.168.1.216","192.168.1.2","KRB5","378","AS-REQ"
"128","1.783779","192.168.1.2","192.168.1.216","TCP","1514","88  >  49679 [ACK] Seq=1 Ack=325 Win=2102272 Len=1460 [TCP segment of a reassembled PDU]"
"129","1.783782","192.168.1.2","192.168.1.216","KRB5","405","AS-REP"
"130","1.783819","192.168.1.2","192.168.1.216","TCP","1514","88  >  49680 [ACK] Seq=1 Ack=325 Win=2102272 Len=1460 [TCP segment of a reassembled PDU]"
"131","1.783820","192.168.1.2","192.168.1.216","KRB5","405","AS-REP"
"132","1.784004","192.168.1.216","192.168.1.2","TCP","54","49679  >  88 [ACK] Seq=325 Ack=1812 Win=262656 Len=0"
"133","1.784007","192.168.1.216","192.168.1.2","TCP","54","49680  >  88 [ACK] Seq=325 Ack=1812 Win=262656 Len=0"
"134","1.784056","192.168.1.216","192.168.1.2","TCP","54","49680  >  88 [FIN, ACK] Seq=325 Ack=1812 Win=262656 Len=0"
"135","1.784119","192.168.1.216","192.168.1.2","TCP","54","49679  >  88 [FIN, ACK] Seq=325 Ack=1812 Win=262656 Len=0"
"136","1.784148","192.168.1.2","192.168.1.216","TCP","54","88  >  49680 [ACK] Seq=1812 Ack=326 Win=2102272 Len=0"
"137","1.784307","192.168.1.2","192.168.1.216","TCP","54","88  >  49679 [ACK] Seq=1812 Ack=326 Win=2102272 Len=0"
"138","1.784339","192.168.1.2","192.168.1.216","TCP","54","88  >  49679 [RST, ACK] Seq=1812 Ack=326 Win=0 Len=0"
"139","1.784427","192.168.1.2","192.168.1.216","TCP","54","88  >  49680 [RST, ACK] Seq=1812 Ack=326 Win=0 Len=0"
"140","1.787179","192.168.1.216","192.168.1.2","EPM","222","Map request, DRSUAPI, 32bit NDR"
"141","1.787469","192.168.1.2","192.168.1.216","EPM","226","Map response, DRSUAPI, 32bit NDR"
"142","1.787749","192.168.1.216","192.168.1.2","TCP","66","49681  >  49667 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"143","1.787759","192.168.1.216","192.168.1.2","TCP","66","49682  >  88 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"144","1.787941","192.168.1.2","192.168.1.216","TCP","66","49667  >  49681 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"145","1.787961","192.168.1.2","192.168.1.216","TCP","66","88  >  49682 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"146","1.788098","192.168.1.216","192.168.1.2","TCP","54","49681  >  49667 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"147","1.788101","192.168.1.216","192.168.1.2","KRB5","298","AS-REQ"
"148","1.788628","192.168.1.2","192.168.1.216","KRB5","278","KRB Error: KRB5KDC_ERR_PREAUTH_REQUIRED"
"149","1.788775","192.168.1.216","192.168.1.2","TCP","54","49682  >  88 [FIN, ACK] Seq=245 Ack=225 Win=262400 Len=0"
"150","1.788884","192.168.1.2","192.168.1.216","TCP","54","88  >  49682 [ACK] Seq=225 Ack=246 Win=2102272 Len=0"
"151","1.788920","192.168.1.216","192.168.1.2","TCP","66","49683  >  88 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"152","1.788950","192.168.1.2","192.168.1.216","TCP","54","88  >  49682 [RST, ACK] Seq=225 Ack=246 Win=0 Len=0"
"153","1.789080","192.168.1.2","192.168.1.216","TCP","66","88  >  49683 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"154","1.789225","192.168.1.216","192.168.1.2","TCP","54","49683  >  88 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"155","1.789349","192.168.1.216","192.168.1.2","KRB5","379","AS-REQ"
"156","1.789898","192.168.1.2","192.168.1.216","TCP","1514","88  >  49683 [ACK] Seq=1 Ack=326 Win=2102272 Len=1460 [TCP segment of a reassembled PDU]"
"157","1.789901","192.168.1.2","192.168.1.216","KRB5","405","AS-REP"
"158","1.790079","192.168.1.216","192.168.1.2","TCP","54","49683  >  88 [ACK] Seq=326 Ack=1812 Win=2102272 Len=0"
"159","1.790100","192.168.1.216","192.168.1.2","TCP","54","49683  >  88 [FIN, ACK] Seq=326 Ack=1812 Win=2102272 Len=0"
"160","1.790205","192.168.1.2","192.168.1.216","TCP","54","88  >  49683 [ACK] Seq=1812 Ack=327 Win=2102272 Len=0"
"161","1.790257","192.168.1.2","192.168.1.216","TCP","54","88  >  49683 [RST, ACK] Seq=1812 Ack=327 Win=0 Len=0"
"162","1.790622","192.168.1.216","192.168.1.2","TCP","66","49684  >  88 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"163","1.790639","192.168.1.216","192.168.1.2","TCP","66","49685  >  88 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"164","1.790766","192.168.1.2","192.168.1.216","TCP","66","88  >  49684 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"165","1.790805","192.168.1.2","192.168.1.216","TCP","66","88  >  49685 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"166","1.790886","192.168.1.216","192.168.1.2","TCP","54","49684  >  88 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"167","1.790909","192.168.1.216","192.168.1.2","TCP","54","49685  >  88 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"168","1.790950","192.168.1.216","192.168.1.2","TCP","1514","49684  >  88 [ACK] Seq=1 Ack=1 Win=2102272 Len=1460 [TCP segment of a reassembled PDU]"
"169","1.790952","192.168.1.216","192.168.1.2","KRB5","464","TGS-REQ"
"170","1.791074","192.168.1.216","192.168.1.2","TCP","1514","49685  >  88 [ACK] Seq=1 Ack=1 Win=262656 Len=1460 [TCP segment of a reassembled PDU]"
"171","1.791078","192.168.1.2","192.168.1.216","TCP","54","88  >  49684 [ACK] Seq=1 Ack=1871 Win=2102272 Len=0"
"172","1.791079","192.168.1.216","192.168.1.2","KRB5","448","TGS-REQ"
"173","1.791191","192.168.1.2","192.168.1.216","TCP","54","88  >  49685 [ACK] Seq=1 Ack=1855 Win=2102272 Len=0"
"174","1.791965","192.168.1.2","192.168.1.216","TCP","1514","88  >  49684 [ACK] Seq=1 Ack=1871 Win=2102272 Len=1460 [TCP segment of a reassembled PDU]"
"175","1.791968","192.168.1.2","192.168.1.216","KRB5","403","TGS-REP"
"176","1.792084","192.168.1.2","192.168.1.216","TCP","1514","88  >  49685 [ACK] Seq=1 Ack=1855 Win=2102272 Len=1460 [TCP segment of a reassembled PDU]"
"177","1.792087","192.168.1.2","192.168.1.216","KRB5","387","TGS-REP"
"178","1.792142","192.168.1.216","192.168.1.2","TCP","54","49684  >  88 [ACK] Seq=1871 Ack=1810 Win=2102272 Len=0"
"179","1.792240","192.168.1.216","192.168.1.2","TCP","54","49685  >  88 [ACK] Seq=1855 Ack=1794 Win=262656 Len=0"
"180","1.792276","192.168.1.216","192.168.1.2","TCP","54","49685  >  88 [FIN, ACK] Seq=1855 Ack=1794 Win=262656 Len=0"
"181","1.792368","192.168.1.216","192.168.1.2","TCP","54","49684  >  88 [FIN, ACK] Seq=1871 Ack=1810 Win=2102272 Len=0"
"182","1.792394","192.168.1.2","192.168.1.216","TCP","54","88  >  49685 [ACK] Seq=1794 Ack=1856 Win=2102272 Len=0"
"183","1.792476","192.168.1.2","192.168.1.216","TCP","54","88  >  49684 [ACK] Seq=1810 Ack=1872 Win=2102272 Len=0"
"184","1.792514","192.168.1.2","192.168.1.216","TCP","54","88  >  49684 [RST, ACK] Seq=1810 Ack=1872 Win=0 Len=0"
"185","1.792601","192.168.1.2","192.168.1.216","TCP","54","88  >  49685 [RST, ACK] Seq=1794 Ack=1856 Win=0 Len=0"
"186","1.793769","192.168.1.216","192.168.1.2","TCP","66","49686  >  389 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"187","1.793904","192.168.1.2","192.168.1.216","TCP","66","389  >  49686 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"188","1.794003","192.168.1.216","192.168.1.2","TCP","54","49686  >  389 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"189","1.794220","192.168.1.216","192.168.1.2","LDAP","404","searchRequest(7) ""<ROOT>"" baseObject "
"190","1.794474","192.168.1.2","192.168.1.216","TCP","1514","389  >  49686 [ACK] Seq=1 Ack=351 Win=2102272 Len=1460 [TCP segment of a reassembled PDU]"
"191","1.794476","192.168.1.2","192.168.1.216","LDAP","1367","searchResEntry(7) ""<ROOT>""  | searchResDone(7) success  [1 result]"
"192","1.794638","192.168.1.216","192.168.1.2","TCP","54","49686  >  389 [ACK] Seq=351 Ack=2774 Win=262656 Len=0"
"193","1.795339","192.168.1.216","192.168.1.2","TCP","66","49687  >  88 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"194","1.795475","192.168.1.2","192.168.1.216","TCP","66","88  >  49687 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"195","1.795582","192.168.1.216","192.168.1.2","TCP","54","49687  >  88 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"196","1.795696","192.168.1.216","192.168.1.2","TCP","1514","49687  >  88 [ACK] Seq=1 Ack=1 Win=262656 Len=1460 [TCP segment of a reassembled PDU]"
"197","1.795700","192.168.1.216","192.168.1.2","KRB5","243","TGS-REQ"
"198","1.795834","192.168.1.2","192.168.1.216","TCP","54","88  >  49687 [ACK] Seq=1 Ack=1650 Win=2102272 Len=0"
"199","1.796202","192.168.1.2","192.168.1.216","TCP","1514","88  >  49687 [ACK] Seq=1 Ack=1650 Win=2102272 Len=1460 [TCP segment of a reassembled PDU]"
"200","1.796206","192.168.1.2","192.168.1.216","KRB5","272","TGS-REP"
